fid,DOI,저자,연도,제목,데이터베이스,검토자1,검토자2,마지막검토일,중복여부,포함여부,배제사유키워드,배제사유내용,다음단계여부
337,10.1016/j.scitotenv.2023.164422,"Zhou, W.|Yu, W.|Zhang, Z.|Cao, W.|Wu, T.",2023,How can urban green spaces be planned to mitigate urban heat island effect under different climatic backgrounds? A threshold-based perspective,Scopus,,,,N,Y,N/A,N/A,진행
338,10.3390/app131810052,"Cho, Y.-I.|Yoon, D.|Lee, M.-J.",2023,Comparative Analysis of Urban Heat Island Cooling Strategies According to Spatial and Temporal Conditions Using Unmanned Aerial Vehicles(UAV) Observation,Scopus,,,,N,N,주제가 녹지 형태/구성 변수 아님,도시지역과 LST 등 온열지표는 다루지만 연구는 다양한 HICS(그늘·고알베도 등) 비교에 초점이며 녹지의 형태·면적·형상·연결성 등 구성 변수를 분석하지 않음,배제
339,10.3390/atmos14091433,"Tian, Q.|Qiu, Q.|Wang, Z.|Cai, Z.|Hu, L.|Liu, H.|Feng, Y.|Li, X.",2023,Spatial Configuration of Urban Greenspace Affects Summer Air Temperature: Diurnal Variations and Scale Effects,Scopus,,,,N,Y,N/A,N/A,진행
340,10.3390/buildings13092329,"Lin, J.|Jiang, S.|Zhang, S.|Yang, S.|Ji, W.|Li, W.",2023,Thermal Comfort in Urban Open Green Spaces: A Parametric Optimization Study in China’s Cold Region,Scopus,,,,N,Y,N/A,N/A,진행
341,10.48044/jauf.2023.016,"Zeeshan, M.|Ali, Z.|Ranjha, Q.A.",2023,Green Infrastructure with Actual Canopy Parameterization: A Simulation Study for Heat Stress Mitigation in a Hot-Humid Urban Environment,Scopus,,,,N,Y,N/A,N/A,진행
342,10.1016/j.uclim.2023.101624,"Gangwisch, M.|Saha, S.|Matzarakis, A.",2023,"Spatial neighborhood analysis linking urban morphology and green infrastructure to atmospheric conditions in Karlsruhe, Germany",Scopus,,,,N,Y,N/A,N/A,진행
343,10.1016/j.uclim.2023.101604,"Zhong, T.|Zhang, N.|Wang, B.|Ma, X.|Wang, Y.|Chen, Y.",2023,Observed neighborhood-scale meteorology and air quality characteristics in downtown area of Nanjing,Scopus,,,,N,Y,N/A,N/A,진행
344,10.3390/land12081568,"Ornelas, A.|Cordeiro, A.|Lameiras, J.M.",2023,Thermal Comfort Assessment in Urban Green Spaces: Contribution of Thermography to the Study of Thermal Variation between Tree Canopies and Air Temperature,Scopus,,,,N,Y,N/A,N/A,진행
345,10.3390/su151511742,"Wang, X.|Chen, Z.|Ma, D.|Zhou, T.|Chen, J.|Jiang, X.",2023,"Relationship between Visual and Thermal Comfort and Electrodermal Activity in Campus Blue–Green Spaces: A Case Study of Guangzhou, China",Scopus,,,,N,Y,N/A,N/A,진행
346,10.3390/su151512085,"Battisti, L.|Aimar, F.|Giacco, G.|Devecchi, M.",2023,Urban Green Development and Resilient Cities: A First Insight into Urban Forest Planning in Italy,Scopus,,,,N,N,열환경지표없음,"""도시지역에서 녹지 형태·구성(수목 수, 수관피복, 녹지까지 거리)을 평가하지만 지표온도·열섬강도·열쾌적성 등 도시 온열환경 지표를 결과변수로 다루지 않아 제외""",배제
347,10.1016/j.ufug.2023.128039,"Fenoglio, M.S.|González, E.|Tavella, J.|Beccacece, H.|Moreno, M.L.|Fabián, D.|Salvo, A.|Estallo, E.L.|Calviño, A.",2023,Native plants on experimental urban green roofs support higher community-level insect abundance than exotics,Scopus,,,,N,N,열환경비해당-곤충풍부도,도시 그린루프와 식물구성을 다루지만 결과는 곤충 풍부도 및 군집구성으로 열환경 지표가 아님 LST는 도시화 수준 보조변수일 뿐,배제
348,10.1016/j.scs.2023.104615,"Ren, J.|Shi, K.|Kong, X.|Zhou, H.",2023,"On-site measurement and numerical simulation study on characteristic of urban heat island in a multi-block region in Beijing, China",Scopus,,,,N,Y,N/A,N/A,진행
349,10.1016/j.scs.2023.104595,"Huang, J.|Wang, Y.",2023,Identification of ventilation corridors through a simulation scenario of forest canopy density in the metropolitan area,Scopus,,,,N,Y,N/A,N/A,진행
350,10.3390/f14071501,"Cheng, Y.|Bao, Y.|Liu, S.|Liu, X.|Li, B.|Zhang, Y.|Pei, Y.|Zeng, Z.|Wang, Z.",2023,Thermal Comfort Analysis and Optimization Strategies of Green Spaces in Chinese Traditional Settlements,Scopus,,,,N,N,비도시 전통취락 대상,연구대상이 허난 신양시의 관위자 전통 취락(마을)으로 도시지역이 아니며 비록 녹지 구성요소와 PET 등 온열지표를 다루지만 도시지역 연구 기준을 충족하지 않음,배제
351,10.3390/f14071396,"Jiang, Y.|Liu, Y.|Sun, Y.|Li, X.",2023,Distribution of CO2 Concentration and Its Spatial Influencing Indices in Urban Park Green Space,Scopus,,,,N,N,결과변수 CO2로 온열환경 지표 아님,도시 공원 대상이며 녹지 형태 지표를 다루지만 주요 결과변수는 CO2 농도로 지표온도 열섬 보행자 열쾌적성 등 도시 온열환경 지표가 아니어서 제외,배제
352,10.3390/rs15143642,"Pan, Z.|Xie, Z.|Ding, N.|Liang, Q.|Li, J.|Pan, Y.|QIN, F.",2023,Evolution Patterns of Cooling Island Effect in Blue–Green Space under Different Shared Socioeconomic Pathways Scenarios,Scopus,,,,N,Y,N/A,N/A,진행
353,10.3390/f14071500,"Liu, J.|Wu, J.|Yang, Y.|Zhang, B.|Yin, L.",2023,Evaluation of the Seasonal Thermal Environmental Benefits of Urban Green Space in the Core Areas of Urban Heat Island,Scopus,,,,N,Y,N/A,N/A,진행
354,10.1007/s11355-023-00540-2,"Yujie, R.|Tang, X.|Fan, T.|Kang, D.",2023,"Does the spatial pattern of urban blue–green space at city-level affects its cooling efficiency? Evidence from Yangtze River Economic Belt, China",Scopus,,,,N,Y,N/A,N/A,진행
355,10.3390/rs15123110,"Errea, C.L.|Almeida, C.R.D.|Gonçalves, A.|Teodoro, A.C.",2023,"Remote Sensing Analysis of the Surface Urban Heat Island Effect in Vitoria-Gasteiz, 1985 to 2021",Scopus,,,,N,Y,N/A,N/A,진행
356,10.3390/f14061231,"Wu, R.|Wu, N.|Nan, X.|Yan, H.|Wang, K.|Ma, T.|She, J.|Bao, Z.",2023,Effects of the Bamboo Communities on Microclimate and Thermal Comfort in Subtropical Climates,Scopus,,,,N,Y,N/A,N/A,진행
357,10.3390/atmos14060908,"Wang, J.|Meng, F.|Lu, H.|Lv, Y.|Jing, T.",2023,"Individual and Combined Effects of 3D Buildings and Green Spaces on the Urban Thermal Environment: A Case Study in Jinan, China",Scopus,,,,N,Y,N/A,N/A,진행
358,10.1016/j.envint.2023.107970,"Badaloni, C.|De Sario, M.|Caranci, N.|de' Donato, F.|Bolignano, A.|Davoli, M.|Leccese, L.|Michelozzi, P.|Leone, M.",2023,A spatial indicator of environmental and climatic vulnerability in Rome,Scopus,,,,N,N,도시 O/녹지 주제 X/열지표 결과 X,로마 도시 대상이지만 GWPCA로 환경과 기후 복합 취약지수를 생성하는 연구로 녹지 형태와 구성에 초점이 없으며 도시 열지표는 입력변수일 뿐 결과변수가 아님,배제
359,10.1016/j.scs.2023.104549,"Dong, X.|Ye, Y.|Yang, R.|Li, X.",2023,Planning for green infrastructure based on integration of multi-driving factors: A case study in pilot site of sponge city,Scopus,,,,N,N,열지표 비주결과·계획중심,도시와 녹지(GI)를 다루지만 다기준 GI 계획·우선순위 연구로서 UHI는 통합 지표 중 하나일 뿐이며 열환경 지표를 주된 결과변수로 분석하거나 녹지-열 관계를 평가하지 않음.,배제
360,10.1016/j.buildenv.2023.110225,"Li, Y.|Ouyang, W.|Yin, S.|Tan, Z.|Ren, C.",2023,Microclimate and its influencing factors in residential public spaces during heat waves: An empirical study in Hong Kong,Scopus,,,,N,Y,N/A,N/A,진행
361,10.3390/atmos14050833,"Wang, M.|Song, H.|Zhu, W.|Wang, Y.",2023,The Cooling Effects of Landscape Configurations of Green–Blue Spaces in Urban Waterfront Community,Scopus,,,,N,Y,N/A,N/A,진행
362,10.3390/land12051076,"Delgado-Capel, M.J.|Cariñanos, P.|Escudero-Viñolo, M.",2023,Capacity of Urban Green Infrastructure Spaces to Ameliorate Heat Wave Impacts in Mediterranean Compact Cities: Case Study of Granada (South-Eastern Spain),Scopus,,,,N,Y,N/A,N/A,진행
363,10.3390/land12050963,"Hu, Y.|Wang, C.|Li, J.",2023,"Assessment of Heat Mitigation Services Provided by Blue and Green Spaces: An Application of the InVEST Urban Cooling Model with Scenario Analysis in Wuhan, China",Scopus,,,,N,Y,N/A,N/A,진행
364,10.3390/rs15092414,"Zhang, Y.|Wang, Y.|Ding, N.|Yang, X.",2023,Assessing the Contributions of Urban Green Space Indices and Spatial Structure in Mitigating Urban Thermal Environment,Scopus,,,,N,Y,N/A,N/A,진행
365,10.1016/j.uclim.2023.101540,"Ding, N.|Zhang, Y.|Wang, Y.|Chen, L.|Qin, K.|Yang, X.",2023,Effect of landscape pattern of urban surface evapotranspiration on land surface temperature,Scopus,,,,N,Y,N/A,N/A,진행
366,10.1016/j.uclim.2023.101442,"Danda, T.J.|Kusangaya, S.|Mushore, T.D.|Mujere, N.",2023,Assessing the role of evapotranspiration in reducing surface temperatures in Harare using the SEBAL algorithm,Scopus,,,,N,Y,N/A,N/A,진행
367,10.24259/fs.v7i1.24526,"Wirayuda, I.K.A.K.|Widayani, P.|Sekaranom, A.B.",2023,"Urban Green Space Analysis and its Effect on the Surface Urban Heat Island Phenomenon in Denpasar City, Bali",Scopus,,,,N,Y,N/A,N/A,진행
368,10.3390/land12040766,"Huang, B.-X.|Li, W.-Y.|Ma, W.-J.|Xiao, H.",2023,Space Accessibility and Equity of Urban Green Space,Scopus,,,,N,N,열환경지표부재,도시지역을 대상으로 녹지 접근성과 패턴을 분석하지만 결과가 접근성 및 형평성 평가에 국한되어 지표온도나 열섬강도 등 도시 온열환경 지표를 다루지 않음,배제
369,10.3390/su15086735,"Sun, M.|Zhao, X.|Wang, Y.|Ren, Z.|Fu, X.",2023,"Factors Affecting the High-Intensity Cooling Distance of Urban Green Spaces: A Case Study of Xi’an, China",Scopus,,,,N,Y,N/A,N/A,진행
370,10.1016/j.envc.2023.100715,"Maskulrath, P.|Bualert, S.|Szymanski, W.W.|Choomanee, P.|Chunkao, K.|Pattamapitoon, T.|Saiohai, J.|Phupijit, J.|Utavong, T.|Rattanapotanan, T.|Fakkaew, N.|Chueytawarit, O.|Fungkeit, Y.",2023,"Assessment of urban green areas towards changing surface energy balance fluxes in tropical study sites, Central Thailand",Scopus,,,,N,Y,N/A,N/A,진행
371,10.1016/j.ufug.2023.127886,"Palomo Amores, T.R.|Sánchez Ramos, J.|Guerrero Delgado, M.C.|Castro Medina, D.|Cerezo-Narváez, A.|Álvarez Domínguez, S.",2023,Effect of green infrastructures supported by adaptative solar shading systems on livability in open spaces,Scopus,,,,N,Y,N/A,N/A,진행
372,10.1007/s11355-023-00543-z,"Kim, Y.J.|Park, C.|Lee, D.K.|Park, T.Y.",2023,Connecting public health with urban planning: allocating walkable cooling shelters considering older people,Scopus,,,,N,Y,N/A,N/A,진행
373,10.1016/j.scitotenv.2022.160712,"Zhou, W.|Cao, W.|Wu, T.|Zhang, T.",2023,The win-win interaction between integrated blue and green space on urban cooling,Scopus,,,,N,Y,N/A,N/A,진행
374,10.3390/buildings13030574,"Gong, Y.|Li, X.|Liu, H.|Li, Y.",2023,The Spatial Pattern and Mechanism of Thermal Environment in Urban Blocks from the Perspective of Green Space Fractal,Scopus,,,,N,Y,N/A,N/A,진행
375,10.3390/ijerph20065025,"Addas, A.",2023,Understanding the Relationship between Urban Biophysical Composition and Land Surface Temperature in a Hot Desert Megacity (Saudi Arabia),Scopus,,,,N,Y,N/A,N/A,진행
376,10.15625/2525-2518/16435,"Braun, A.|Duffy, E.C.|Warth, G.|Hochschild, V.",2023,Relationship of urban heat with building density and green spaces - a remote sensing-based study across Vietnam’s metropolitan areas,Scopus,,,,N,Y,N/A,N/A,진행
377,10.24352/UB.OVGU-2023-052,"Vanky, P.|Mark, A.|Hunger, F.|Haeger-Eugensson, M.|Tarraso, J.|Adelfio, M.|Sasic Kalagasidis, A.S.|Sardina, G.",2023,Addressing wind comfort in an urban area using an immersed boundary framework,Scopus,,,,N,N,녹지변수아님;열환경지표아님,도시지역을 대상으로 하나 녹지 형태나 구성 변수를 분석하지 않으며 결과도 풍환경과 환기 성능에 집중하여 도시 온열환경 지표나 보행자 열쾌적성 등을 제시하지 않음,배제
378,10.3390/su15043705,"Gallay, I.|Olah, B.|Murtinová, V.|Gallayova, Z.",2023,Quantification of the Cooling Effect and Cooling Distance of Urban Green Spaces Based on Their Vegetation Structure and Size as a Basis for Management Tools for Mitigating Urban Climate,Scopus,,,,N,Y,N/A,N/A,진행
379,10.3390/land12020427,"Stark da Silva, P.W.|Duarte, D.|Pauleit, S.",2023,The Role of the Design of Public Squares and Vegetation Composition on Human Thermal Comfort in Different Seasons a Quantitative Assessment,Scopus,,,,N,Y,N/A,N/A,진행
380,10.3390/su15042969,"Zhang, L.|Xu, H.|Pan, J.",2023,Investigating the Relationship between Landscape Design Types and Human Thermal Comfort: Case Study of Beijing Olympic Forest Park,Scopus,,,,N,Y,N/A,N/A,진행
381,10.3390/land12020476,"Semenzato, P.|Bortolini, L.",2023,Urban Heat Island Mitigation and Urban Green Spaces: Testing a Model in the City of Padova (Italy),Scopus,,,,N,Y,N/A,N/A,진행
382,10.3390/ijerph20043155,"Zhang, K.|Yun, G.|Song, P.|Wang, K.|Li, A.|Du, C.|Jia, X.|Feng, Y.|Wu, M.|Qu, K.|Zhu, X.|Ge, S.",2023,"Discover the Desirable Landscape Structure of Urban Parks for Mitigating Urban Heat: A High Spatial Resolution Study Using a Forest City, Luoyang, China as a Lens",Scopus,,,,N,Y,N/A,N/A,진행
383,10.1029/2022AV000816,"Zhu, Y.|Myint, S.W.|Feng, X.|Li, Y.",2023,"An Innovative Scheme to Confront the Trade-Off Between Water Conservation and Heat Alleviation With Environmental Justice for Urban Sustainability: The Case of Phoenix, Arizona",Scopus,,,,N,Y,N/A,N/A,진행
384,10.3390/atmos14020404,"Wang, J.|Meng, F.|Fu, P.|Jin, F.",2023,"Investigating the Coupling of Supply and Demand for Urban Blue and Green Spaces’ Cooling Effects in Shandong, China",Scopus,,,,N,Y,N/A,N/A,진행
385,10.1016/j.ecolind.2022.109787,"Tang, L.|Zhan, Q.|Fan, Y.|Liu, H.|Fan, Z.",2023,"Exploring the impacts of greenspace spatial patterns on land surface temperature across different urban functional zones: A case study in Wuhan metropolitan area, China",Scopus,,,,N,Y,N/A,N/A,진행
386,10.1016/j.landurbplan.2022.104608,"Lachapelle, J.A.|Krayenhoff, E.|Middel, A.|Coseo, P.|Warland, J.",2023,Maximizing the pedestrian radiative cooling benefit per street tree,Scopus,,,,N,Y,N/A,N/A,진행
387,10.1007/s00468-021-02230-8,"Ribeiro, A.P.|Bollmann, H.A.|de Oliveira, A.|Rakauskas, F.|Cortese, T.T.P.|Rodrigues, M.S.C.|Quaresma, C.C.|Lamano-Ferreira, M.L.",2023,The role of tree landscape to reduce effects of urban heat islands: a study in two Brazilian cities,Scopus,,,,N,Y,N/A,N/A,진행
388,10.1016/j.scitotenv.2022.159663,"Smith, I.A.|Fabian, M.P.|Hutyra, L.R.",2023,Urban green space and albedo impacts on surface temperature across seven United States cities,Scopus,,,,N,Y,N/A,N/A,진행
389,10.1016/j.buildenv.2022.109910,"Lin, J.|Qiu, S.|Tan, X.|Zhuang, Y.",2023,Measuring the relationship between morphological spatial pattern of green space and urban heat island using machine learning methods,Scopus,,,,N,Y,N/A,N/A,진행
390,10.3389/fenvs.2023.1265332,"Yazar, M.|Daloglu Cetinkaya, I.|Iban, M.C.|Bilgilioğlu, S.S.",2023,The green divide and heat exposure: urban transformation projects in istanbul,Scopus,,,,N,Y,N/A,N/A,진행
391,10.24425/jwld.2023.147243,"Czyża, S.|Kowalczyk, A.M.",2023,GIS and geodata contribution to the cartographic modelling of blue-green infrastructure in urbanised areas,Scopus,,,,N,N,SUHI 보조입력·열환경 결과변수 아님,도시지역과 블루그린 인프라를 다루지만 SUHI를 참고 중첩하여 BGI 최적 입지를 제시하는 계획 지도화 연구로서 지표온도 또는 열섬 등 도시 온열환경 지표를 결과변수로 분석 보고하지 않음,배제
392,10.3897/jbgs.e113695,"Brahimi, M.|Benabbas, M.|Djaghrouri, D.",2023,"Setting up the ENVI-met digital tool to evaluate climatic conditions at an urban scale: a case study of Djelfa, Algeria",Scopus,,,,N,Y,N/A,N/A,진행
393,10.14710/geoplanning.10.1.37-44,"Ambarwati, N.|Wijayanti Faida, L.R.|Marhaento, H.",2023,"The Effects of Green Open Spaces on Microclimate and Thermal Comfort in Three Integrated Campus in Yogyakarta, Indonesia",Scopus,,,,N,Y,N/A,N/A,진행
394,10.3390/su15021429,"Sobrinho, O.M.|Rudke, A.P.|Morais, M.V.B.D.|Martins, L.D.",2023,Meteorological Effects of Green Infrastructure on a Developing Medium Latin American City: A Numerical Modeling Assessment,Scopus,,,,N,Y,N/A,N/A,진행
395,10.3389/fevo.2023.1261291,"Qiao, Q.|Zhen, Z.|Lin, Y.",2023,"Assessment and simulation of thermal environments in Taiyuan urban built-up area, China",Scopus,,,,N,Y,N/A,N/A,진행
396,10.3389/fevo.2023.1221730,"Zaro, G.|Blaće, A.|Baraka Perica, J.|Čelhar, M.|Jurković Pešić, F.|Gusar, K.",2023,"Fleeting fields of Zadar (Croatia): characterizing millennial-scale urban landcover change, green space, and resilience into the twenty first century",Scopus,,,,N,N,열환경지표부재,도시와 녹지 변화는 다루지만 결과변수가 도시 온열환경 지표가 아님; 자다르의 장기 토지피복 변화와 녹지 및 회복탄력성에 초점; 열섬강도 지표온도 보행자 열쾌적성 등의 측정이나 분석이 없음,배제
397,10.1080/17538947.2023.2243901,"Chenary, K.|Soltani, A.|Sharifi, A.",2023,Street network patterns for mitigating urban heat islands in arid climates,Scopus,,,,N,N,녹지형태아님(도로망패턴),도시 연구이고 결과변수는 LST와 UHI이나 연구 주제가 녹지 형태나 구성 변수가 아니라 도로망 지표 중심 분석이며 NDVI는 보조 변수 수준이어서 제외,배제
398,10.48044/jauf.2023.003,"Moore, G.M.|Chandler, A.",2023,"The Potential of Yellow Gum (Eucalyptus leucoxylon F. Muell.) as an Urban Street Tree: An Assessment of Species Performance in the City of Greater Melbourne, Australia",Scopus,,,,N,N,열환경지표미측정,도시지역의 가로수 녹지 연구이나 결과변수는 수관 구조 건강 등 수목 성능이며 지표온도 열섬강도 보행자 열쾌적성 등 도시 온열환경 지표를 다루지 않음,배제
399,10.14627/537740012,"Vallejo, A.N.|Schwarz-V.raumer, H.-G.",2023,Do Green Infrastructure Types Represent Land Surface Temperature? A Case Study of Stuttgart,Scopus,,,,N,Y,N/A,N/A,진행
400,10.15666/aeer/2102_17111729,"Wang, L.|Zhai, Y.L.|Jia, J.|Lu, Y.|Yao, M.C.|Zhang, L.X.|Ning, J.|Yao, Y.L.",2023,ECOLOGICAL COOLING DEMAND IN CHANGCHUN CITY OF CHINA: SPATIAL RESPONSE TO DIFFERENCES IN URBAN THERMAL ENVIRONMENT INTENSITY,Scopus,,,,N,Y,N/A,N/A,진행
401,10.3390/land12010155,"Cimini, A.|de Fioravante, P.|Riitano, N.|Dichicco, P.|Calò, A.|Scarascia-Mugnozza, G.|Marchetti, M.|Munafò, M.",2023,Land Consumption Dynamics and Urban–Rural Continuum Mapping in Italy for SDG 11.3.1 Indicator Assessment,Scopus,,,,N,N,도시열지표아님;녹지형태핵심주제아님,연구는 이탈리아의 도시화 정도 분류와 토지소비 및 인구 기반 SDG 11.3.1 산정과 도시 확산 지표 개발에 초점이며 결과변수는 UHI 지표온도 열쾌적성 등 도시 온열환경 지표가 아님 또한 녹지 형태와 구성은 적용 가능성으로만 언급되어 핵심 분석 주제가 아님,배제
402,10.1016/j.uclim.2022.101398,"Lai, D.|Liu, Y.|Liao, M.|Yu, B.",2023,Effects of different tree layouts on outdoor thermal comfort of green space in summer Shanghai,Scopus,,,,N,Y,N/A,N/A,진행
403,10.1016/j.scs.2022.104287,"Lyu, R.|Pang, J.|Tian, X.|Zhao, W.|Zhang, J.",2023,How to optimize the 2D/3D urban thermal environment: Insights derived from UAV LiDAR/multispectral data and multi-source remote sensing data,Scopus,,,,N,Y,N/A,N/A,진행
404,10.11628/ksppe.2022.25.6.685,"Lee, S.-B.|Kil, S.-H.|Yun, Y.-J.|Choi, Y.-E.",2022,An Analysis of Surface Temperature Changes for Urban Green Space using Unmanned Aerial Vehicles,Scopus,,,,N,Y,N/A,N/A,진행
405,10.3390/ijerph192316191,"Jiang, Y.|Li, X.|Huang, J.",2022,Zoning Optimization Method of a Riverfront Greenspace Service Function Oriented to the Cooling Effect: A Case Study in Shanghai,Scopus,,,,N,Y,N/A,N/A,진행
406,10.1016/j.ecolind.2022.109666,"Li, H.|Zhou, W.|Wang, W.|Zheng, Z.",2022,"Imbalanced supply and demand of temperature regulation service provided by urban forests: A case study in Shenzhen, China",Scopus,,,,N,Y,N/A,N/A,진행
407,10.1016/j.envc.2022.100644,"Tanjina Hasnat, G.N.",2022,Assessment of spatiotemporal distribution pattern of land surface temperature with incessant urban sprawl over Khulna and Rajshahi City Corporations,Scopus,,,,N,Y,N/A,N/A,진행
408,10.1111/gcb.16419,"Gillerot, L.|Landuyt, D.|Oh, R.|Chow, W.|Haluza, D.|Ponette, Q.|Jactel, H.|Bruelheide, H.|Jaroszewicz, B.|Scherer-Lorenzen, M.|de Frenne, P.|Muys, B.|Verheyen, K.",2022,Forest structure and composition alleviate human thermal stress,Scopus,,,,N,N,비도시-산림연구,연구 대상이 유럽의 일반 산림 플롯으로 도시지역이 아님; PET 등 온열지표를 사용하지만 맥락이 도시가 아니므로 제외.,배제
409,10.1016/j.scitotenv.2022.157662,"Zhou, Y.|Zhao, H.|Mao, S.|Zhang, G.|Jin, Y.|Luo, Y.|Huo, W.|Pan, Z.|An, P.|Lun, F.",2022,Exploring surface urban heat island (SUHI) intensity and its implications based on urban 3D neighborhood metrics: An investigation of 57 Chinese cities,Scopus,,,,N,Y,N/A,N/A,진행
410,10.3390/rs14225684,"Zhang, Y.|Wang, Y.|Ding, N.",2022,Spatial Effects of Landscape Patterns of Urban Patches with Different Vegetation Fractions on Urban Thermal Environment,Scopus,,,,N,Y,N/A,N/A,진행
411,10.3390/land11101687,"Jia, X.|Song, P.|Yun, G.|Li, A.|Wang, K.|Zhang, K.|Du, C.|Feng, Y.|Qu, K.|Wu, M.|Ge, S.",2022,"Effect of Landscape Structure on Land Surface Temperature in Different Essential Urban Land Use Categories: A Case Study in Jiaozuo, China",Scopus,,,,N,N,녹지형태변수초점부재,도시와 LST는 충족하지만 연구가 전체 토지이용과 건물 3차원 구조 등 경관 전반에 초점이며 녹지 형태 또는 구성 변수를 중심으로 한 분석이 아니다,배제
412,10.3390/su142013492,"Liu, W.|Jia, B.|Li, T.|Zhang, Q.|Ma, J.",2022,Correlation Analysis between Urban Green Space and Land Surface Temperature from the Perspective of Spatial Heterogeneity: A Case Study within the Sixth Ring Road of Beijing,Scopus,,,,N,Y,N/A,N/A,진행
413,10.3390/fi14100280,"Pirotti, F.|Piragnolo, M.|D’Agostini, M.|Cavalli, R.",2022,Information Technologies for Real-Time Mapping of Human Well-Being Indicators in an Urban Historical Garden,Scopus,,,,N,Y,N/A,N/A,진행
414,10.3390/atmos13101586,"Del Serrone, G.|Peluso, P.|Moretti, L.",2022,Evaluation of Microclimate Benefits Due to Cool Pavements and Green Infrastructures on Urban Heat Islands,Scopus,,,,N,Y,N/A,N/A,진행
415,10.3390/ijerph191911917,"Teo, Y.H.|Makani, M.A.B.H.|Wang, W.|Liu, L.|Yap, J.H.|Cheong, K.H.",2022,Urban Heat Island Mitigation: GIS-Based Analysis for a Tropical City Singapore,Scopus,,,,N,Y,N/A,N/A,진행
416,10.1016/j.landurbplan.2022.104499,"Wu, W.-B.|Yu, Z.-W.|Ma, J.|Zhao, B.",2022,Quantifying the influence of 2D and 3D urban morphology on the thermal environment across climatic zones,Scopus,,,,N,Y,N/A,N/A,진행
417,10.1016/j.scitotenv.2022.156687,"Xu, C.|Chen, G.|Huang, Q.|Su, M.|Rong, Q.|Yue, W.|Haase, D.",2022,Can improving the spatial equity of urban green space mitigate the effect of urban heat islands? An empirical study,Scopus,,,,N,Y,N/A,N/A,진행
418,10.1016/j.landurbplan.2022.104498,"Napieralski, J.|Sulich, C.|Taylor, A.|Draus, P.",2022,"Mapping the link between outdoor water footprint and social vulnerability in Metro Phoenix, AZ (USA)",Scopus,,,,N,Y,N/A,N/A,진행
419,10.1007/s11252-022-01232-9,"Molina-Gómez, N.I.|Varon-Bravo, L.M.|Sierra-Parada, R.|López Jiménez, P.A.",2022,Urban growth and heat islands: A case study in micro-territories for urban sustainability,Scopus,,,,N,Y,N/A,N/A,진행
420,10.3389/fevo.2022.1010400,"Dai, Y.|Liu, T.",2022,Spatiotemporal mechanism of urban heat island effects on human health—Evidence from Tianjin city of China,Scopus,,,,N,N,녹지변수없음 결과는건강지표 열환경보조,도시대상이지만 녹지형태나 구성변수를 다루지 않으며 결과변수가 열환경지표가 아니라 건강영향 평가가 중심이어서 제외,배제
421,10.14358/PERS.21-00034R3,"Zhang, Y.|Shao, Z.|Huang, X.|Feng, X.|Zhou, Z.|Li, Y.",2022,Impact of Spatial Configuration of Urban Green Space and Urban Impervious Surface on Land Surface Temperature: A Multi-Grid Perspective,Scopus,,,,N,Y,N/A,N/A,진행
422,10.3390/rs14184580,"An, H.|Cai, H.|Xu, X.|Qiao, Z.|Han, D.",2022,Impacts of Urban Green Space on Land Surface Temperature from Urban Block Perspectives,Scopus,,,,N,Y,N/A,N/A,진행
423,10.3390/rs14184492,"Murtinová, V.|Gallay, I.|Olah, B.",2022,"Mitigating Effect of Urban Green Spaces on Surface Urban Heat Island during Summer Period on an Example of a Medium Size Town of Zvolen, Slovakia",Scopus,,,,N,Y,N/A,N/A,진행
424,10.3390/f13091342,"Bao, Y.|Gao, M.|Luo, D.|Zhou, X.",2022,The Influence of Plant Community Characteristics in Urban Parks on the Microclimate,Scopus,,,,N,Y,N/A,N/A,진행
425,10.3390/rs14174351,"Nguyen, T.T.|Eslick, H.|Barber, P.|Harper, R.|Dell, B.",2022,Cooling Effects of Urban Vegetation: The Role of Golf Courses,Scopus,,,,N,Y,N/A,N/A,진행
426,10.1016/j.apgeog.2022.102766,"Han, S.|Li, W.|Kwan, M.-P.|Miao, C.|Sun, B.",2022,Do polycentric structures reduce surface urban heat island intensity?,Scopus,,,,N,N,주제불일치(녹지형태아님),도시지역을 대상으로 하고 결과변수도 열섬강도이나 연구의 핵심은 도시 다핵 공간구조의 효과로 녹지의 형태·구성 변수를 직접적으로 다루지 않아 포함 기준에 부합하지 않음.,배제
427,10.1016/j.ecolind.2022.109187,"Shen, Z.-J.|Zhang, B.-H.|Xin, R.-H.|Liu, J.-Y.",2022,"Examining supply and demand of cooling effect of blue and green spaces in mitigating urban heat island effects: A case study of the Fujian Delta urban agglomeration (FDUA), China",Scopus,,,,N,Y,N/A,N/A,진행
428,10.1002/eco.2431,"Chen, H.|Huang, J.J.|McBean, E.|Dash, S.S.|Li, H.|Zhang, J.|Lan, Z.|Gao, J.|Zhou, Z.",2022,Evapotranspiration partitioning based on field-stable oxygen isotope observations for an urban locust forest land,Scopus,,,,N,N,"""도시","녹지변수(LAI) 언급, 결과변수=ET/동위원소로 열환경지표 아님"",""도시 수림에서 증발산 분할(FT)과 안정동위원소(δET, δE, δT) 및 LAI·토양수분 영향·불확실성 분석이 주내용이며, 지표온도·열섬강도·보행자 열쾌적성 등 도시 온열환경 지표를 결과로 다루지 않아 제외""",배제
